FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,67708,841987,909695,0.0632,397006,0.0311
2025,R4,2,67708,787952,855660,-0.0453,385047,-0.0366
2024,R4,2,67708,828525,896233,0.1351,399665,0.1659
2023,R4,2,67708,721864,789572,0.2713,342805,0.3135
2022,RR,2,67708,553380,621088,,260986,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Tue Oct 29 2024 00:00:00 GMT-0400 (Eastern Daylight Time),5700035,SMITELL LLC,"RL&RH FAMILY TRUST; YONGBIN LUO, AS TRUSTEE",-,SINGLE RESIDENTIAL CONDO UNIT,2024110500358001,Fri Nov 08 2024 10:18:13 GMT-0500 (Eastern Standard Time)
