FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,90920,1130646,1221566,0.0632,533111,0.0311
2025,R4,2,90920,1058085,1149005,-0.0453,517052,-0.0366
2024,R4,2,90920,1112569,1203489,0.1351,536681,0.1659
2023,R4,2,90920,969340,1060260,0.2713,460328,0.3135
2022,RR,2,90920,743095,834015,,350459,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu May 12 2022 00:00:00 GMT-0400 (Eastern Daylight Time),9191000,SMITELL LLC,49ACPT LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2022051800531001,Fri May 27 2022 10:13:28 GMT-0400 (Eastern Daylight Time)
