FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,298802,3715778,4014580,0.0632,1752032,0.0311
2025,R4,2,298802,3477313,3776115,-0.0453,1699252,-0.0366
2024,R4,2,298802,3656370,3955172,0.1351,1763766,0.1659
2023,R4,2,298802,3185660,3484462,0.2713,1512837,0.3135
2022,RR,2,298802,2442124,2740926,,1151760,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri Sep 17 2021 00:00:00 GMT-0400 (Eastern Daylight Time),40834250,SMITELL LLC,"NEAL INVESTORS HOLDINGS, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2021092400417001,
