FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,174317,2167737,2342054,0.0632,1022112,0.0311
2025,R4,2,174317,2028620,2202937,-0.0453,991322,-0.0366
2024,R4,2,174317,2133079,2307396,0.1351,1028958,0.1659
2023,R4,2,174317,1858473,2032790,0.2713,882570,0.3135
2022,RR,2,174317,1424704,1599021,,671922,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri Mar 07 2025 00:00:00 GMT-0500 (Eastern Standard Time),-,SMITELL LLC,SMITELL II LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2025031001058001,Mon Mar 17 2025 09:21:24 GMT-0400 (Eastern Daylight Time)
