FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,176118,2190126,2366244,0.0632,1032670,0.0311
2025,R4,2,176118,2049572,2225690,-0.0453,1001560,-0.0366
2024,R4,2,176118,2155110,2331228,0.1351,1039585,0.1659
2023,R4,2,176118,1877668,2053786,0.2713,891686,0.3135
2022,RR,2,176118,1439419,1615537,,678861,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri Mar 07 2025 00:00:00 GMT-0500 (Eastern Standard Time),-,SMITELL LLC,SMITELL II LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2025031001058001,Mon Mar 17 2025 09:21:24 GMT-0400 (Eastern Daylight Time)
