FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,55169,686064,741233,0.0632,323486,0.0311
2025,R4,2,55169,642035,697204,-0.0453,313742,-0.0366
2024,R4,2,55169,675095,730264,0.1351,325653,0.1659
2023,R4,2,55169,588185,643354,0.2713,279323,0.3135
2022,RR,2,55169,450902,506071,,212655,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu Nov 03 2022 00:00:00 GMT-0400 (Eastern Daylight Time),8170250,SMITELL LLC,LOGIC WHITE EAGLE COMPANY CORP.,-,SINGLE RESIDENTIAL CONDO UNIT,2022110800867001,Thu Nov 10 2022 10:49:16 GMT-0500 (Eastern Standard Time)
