FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,130433,1622005,1752438,0.0632,764792,0.0311
2025,R4,2,130433,1517911,1648344,-0.0453,741755,-0.0366
2024,R4,2,130433,1596072,1726505,0.1351,769915,0.1659
2023,R4,2,130433,1390599,1521032,0.2713,660381,0.3135
2022,RR,2,130433,1066032,1196465,,502765,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Mon Jul 24 2023 00:00:00 GMT-0400 (Eastern Daylight Time),16591438,SMITELL LLC,CPT63E LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2023080200097001,
