FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,67483,839188,906671,0.0631,395686,0.0311
2025,R4,2,67483,785333,852816,-0.0453,383767,-0.0366
2024,R4,2,67483,825771,893254,0.1351,398336,0.1659
2023,R4,2,67483,719464,786947,0.2713,341666,0.3135
2022,RR,2,67483,551541,619024,,260117,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri Jul 26 2024 00:00:00 GMT-0400 (Eastern Daylight Time),5720450,SMITELL LLC,"JIN, HUILING",-,SINGLE RESIDENTIAL CONDO UNIT,2024073000110001,
