FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,127957,1591220,1719177,0.0632,750278,0.0311
2025,R4,2,127957,1489101,1617058,-0.0453,727676,-0.0366
2024,R4,2,127957,1565779,1693736,0.1351,755303,0.1659
2023,R4,2,127957,1364206,1492163,0.2713,647847,0.3135
2022,RR,2,127957,1045799,1173756,,493222,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Wed Jun 25 2025 00:00:00 GMT-0400 (Eastern Daylight Time),15060313,SMITELL LLC,"ROI, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2025070300424001,
