FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,306036,3805734,4111770,0.0632,1794447,0.0311
2025,R4,2,306036,3561496,3867532,-0.0453,1740389,-0.0366
2024,R4,2,306036,3744887,4050923,0.1351,1806464,0.1659
2023,R4,2,306036,3262782,3568818,0.2713,1549461,0.3135
2022,RR,2,306036,2501246,2807282,,1179643,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Mon Nov 21 2022 00:00:00 GMT-0500 (Eastern Standard Time),44917250,SMITELL LLC,NOBLE CASTLE LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2022120500689001,
