FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,597664,2355144,2952808,0.0239,1301350,0.0028
2025,R4,2,597664,2286258,2883922,0.0244,1297765,0.0244
2024,R4,2,597664,2217494,2815158,0.0429,1266821,0.1822
2023,R4,2,597664,2101725,2699389,0.1967,1071617,0.3404
2022,R4,2,597664,1658043,2255707,,799499,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu Jul 28 2022 00:00:00 GMT-0400 (Eastern Daylight Time),26500000,111 WEST 57TH PROPERTY OWNER LLC,TCHAIKOVSKY 1812 LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2022080301457001,
