FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,555708,2189810,2745518,0.0239,1209993,0.0028
2025,R4,2,555708,2125760,2681468,0.0244,1206661,0.0244
2024,R4,2,555708,2061823,2617531,0.0429,1177889,0.1822
2023,R4,2,555708,1954181,2509889,0.1967,996387,0.3404
2022,R4,2,555708,1541646,2097354,,743373,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Wed Feb 19 2025 00:00:00 GMT-0500 (Eastern Standard Time),12000000,111 WEST 57TH PROPERTY OWNER LLC,STEINWAY HALL 27 LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2025030700614001,
