FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,1065158,4197341,5262499,0.0239,2319267,0.0028
2025,R4,2,1065158,4074574,5139732,0.0244,2312879,0.0244
2024,R4,2,1065158,3952022,5017180,0.0429,2257731,0.1822
2023,R4,2,1065158,3745697,4810855,0.1967,1909838,0.3404
2022,R4,2,1065158,2954967,4020125,,1424870,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Tue Oct 11 2022 00:00:00 GMT-0400 (Eastern Daylight Time),50518750,111 WEST 57TH PROPERTY OWNER LLC,111W57 T70 LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2022102701046001,Mon Oct 31 2022 11:01:40 GMT-0400 (Eastern Daylight Time)
