FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,311649,1228077,1539726,0.0239,684002,0.0108
2025,R4,2,311649,1192157,1503806,0.0244,676713,0.0244
2024,R4,2,311649,1156300,1467949,-0.4357,660577,-0.3603
2023,R4,2,575955,2025384,2601339,0.1967,1032693,0.3404
2022,R4,2,575955,1597818,2173773,,770458,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Mon Sep 11 2023 00:00:00 GMT-0400 (Eastern Daylight Time),5000000,111 WEST 57TH PROPERTY OWNER LLC,PIANOVAL LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2023091900407001,Fri Sep 22 2023 10:41:44 GMT-0400 (Eastern Daylight Time)
