FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,560968,2210538,2771506,0.0239,1221446,0.0028
2025,R4,2,560968,2145883,2706851,0.0244,1218083,0.0244
2024,R4,2,560968,2081340,2642308,0.0429,1189039,0.1822
2023,R4,2,560968,1972679,2533647,0.1967,1005820,0.3404
2022,R4,2,560968,1556239,2117207,,750411,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Wed Nov 30 2022 00:00:00 GMT-0500 (Eastern Standard Time),14625000,111 WEST 57TH PROPERTY OWNER LLC,WEST 57-29 REALTY LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2022120200474001,
