FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,566186,2231102,2797288,0.0239,1232809,0.0028
2025,R4,2,566186,2165845,2732031,0.0244,1229414,0.0244
2024,R4,2,566186,2100702,2666888,0.0429,1200100,0.1822
2023,R4,2,566186,1991030,2557216,0.1967,1015176,0.3404
2022,R4,2,566186,1570717,2136903,,757391,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri Nov 15 2024 00:00:00 GMT-0500 (Eastern Standard Time),13250000,111 WEST 57TH PROPERTY OWNER LLC,HALOTA-NY1 L.P.,-,SINGLE RESIDENTIAL CONDO UNIT,2024112000470003,
