FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,575955,2269598,2845553,0.0239,1264098,0.0108
2025,R4,2,575955,2203215,2779170,0.0244,1250627,0.0244
2024,R4,2,575955,2136948,2712903,0.9273,1220807,1.1847
2023,R4,2,311649,1095933,1407582,0.1967,558788,0.3404
2022,R4,2,311649,864578,1176227,,416894,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Wed May 31 2023 00:00:00 GMT-0400 (Eastern Daylight Time),13500000,111 WEST 57TH PROPERTY OWNER LLC,RIDGEWOOD 57 II LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2023060500717001,
