FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,562763,2217612,2780375,0.0239,1225354,0.0028
2025,R4,2,562763,2152750,2715513,0.0244,1221981,0.0244
2024,R4,2,562763,2088001,2650764,0.0429,1192843,0.1822
2023,R4,2,562763,1978992,2541755,0.1967,1009038,0.3404
2022,R4,2,562763,1561220,2123983,,752812,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri Dec 06 2024 00:00:00 GMT-0500 (Eastern Standard Time),17500000,111 WEST 57TH PROPERTY OWNER LLC,TIME ROSE LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2024121300223001,Fri Dec 27 2024 09:57:45 GMT-0500 (Eastern Standard Time)
