FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,574077,2262195,2836272,0.0239,1249990,0.0028
2025,R4,2,574077,2196028,2770105,0.0244,1246548,0.0244
2024,R4,2,574077,2129978,2704055,0.0429,1216825,0.1822
2023,R4,2,574077,2018777,2592854,0.1967,1029325,0.3404
2022,R4,2,574077,1592606,2166683,,767948,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu May 26 2022 00:00:00 GMT-0400 (Eastern Daylight Time),18920000,111 WEST 57TH PROPERTY OWNER LLC,CC TI POWER INC.,-,SINGLE RESIDENTIAL CONDO UNIT,2022060800312001,Thu Jun 16 2022 10:59:21 GMT-0400 (Eastern Daylight Time)
