FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,1017441,4009305,5026746,0.0239,2215368,0.0028
2025,R4,2,1017441,3892037,4909478,0.0244,2209265,0.0244
2024,R4,2,1017441,3774975,4792416,0.0429,2156587,0.1822
2023,R4,2,1017441,3577894,4595335,0.1967,1824278,0.3404
2022,R4,2,1017441,2822588,3840029,,1361037,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri Sep 29 2023 00:00:00 GMT-0400 (Eastern Daylight Time),52952250,111 WEST 57TH PROPERTY OWNER LLC,"WORLDSTAR WEST, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2023100300230001,
