FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,592404,2334415,2926819,0.0239,1289895,0.0028
2025,R4,2,592404,2266136,2858540,0.0244,1286343,0.0244
2024,R4,2,592404,2197977,2790381,0.0429,1255672,0.1822
2023,R4,2,592404,2083227,2675631,0.1967,1062185,0.3404
2022,R4,2,592404,1643450,2235854,,792462,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri Jun 27 2025 00:00:00 GMT-0400 (Eastern Daylight Time),21250000,111 WEST 57TH PROPERTY OWNER LLC,"STEINWAY 111-43 NY PROPERTY, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2025070300544001,Thu Jul 17 2025 12:18:07 GMT-0400 (Eastern Daylight Time)
