FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,671892,2647645,3319537,0.0239,1462973,0.0028
2025,R4,2,671892,2570204,3242096,0.0244,1458943,0.0244
2024,R4,2,671892,2492899,3164791,0.0429,1424156,0.1822
2023,R4,2,671892,2362752,3034644,0.1967,1204707,0.3404
2022,R4,2,671892,1863966,2535858,,898794,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri Sep 20 2024 00:00:00 GMT-0400 (Eastern Daylight Time),24500000,111 WEST 57TH PROPERTY OWNER LLC,YAMAHA LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2024092500649001,Thu Sep 26 2024 09:43:29 GMT-0400 (Eastern Daylight Time)
