FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,569526,2244263,2813789,0.0239,1240081,0.0028
2025,R4,2,569526,2178621,2748147,0.0244,1236666,0.0244
2024,R4,2,569526,2113094,2682620,0.0429,1207179,0.1822
2023,R4,2,569526,2002775,2572301,0.1967,1021165,0.3404
2022,R4,2,569526,1579982,2149508,,761859,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Mon Apr 07 2025 00:00:00 GMT-0400 (Eastern Daylight Time),19000000,111 WEST 57TH PROPERTY OWNER LLC,111 W 57 UNIT 70 LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2025041000392001,Wed Apr 16 2025 08:48:51 GMT-0400 (Eastern Daylight Time)
