FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,576665,2272395,2849060,0.0239,1255625,0.0028
2025,R4,2,576665,2205930,2782595,0.0244,1252168,0.0244
2024,R4,2,576665,2139581,2716246,0.0429,1222310,0.1822
2023,R4,2,576665,2027880,2604545,0.1967,1033965,0.3404
2022,R4,2,576665,1599787,2176452,,771407,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri Jun 06 2025 00:00:00 GMT-0400 (Eastern Daylight Time),16150000,111 WEST 57TH PROPERTY OWNER LLC,DOM NYC LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2025061000083004,
